,WaitingTime,Drop,Outflow,AvgProfit,AvgTime,AvgDistance,TotalTrips,AirportRatio,CabNum,Pick,DayTime_Afternoon,DayTime_EarlyMorning,DayTime_Evening,DayTime_Morning
1,67.0,0.0,1060.0,17.18936374402827,8.97872340425532,0.03641178071400323,47.0,0.26805555555555555,530,1.0,0,0,0,1
2,83.0,0.0,1387.0,15.103545070639768,8.73913043478261,0.02706888325645641,46.0,0.26805555555555555,530,1.0,0,0,0,1
3,73.0,0.0,1162.0,18.18376381682031,12.606060606060606,0.041164257176915436,33.0,0.26805555555555555,463,1.0,0,0,0,1
4,36.0,0.0,1110.0,18.18376381682031,12.606060606060606,0.041164257176915436,33.0,0.26805555555555555,521,0.0,0,0,1,0
5,58.0,0.0,1664.0,15.956711495958633,8.591836734693878,0.03022755626924717,49.0,0.26805555555555555,534,1.0,0,0,0,1
6,41.0,0.0,818.0,15.956711495958633,8.591836734693878,0.03022755626924717,49.0,0.26805555555555555,414,0.0,1,0,0,0
7,8.0,0.0,952.0,16.232845355466544,8.76923076923077,0.032976277610958615,52.0,0.26805555555555555,521,1.0,0,0,1,0
8,20.0,0.0,1200.0,20.29434933125263,12.571428571428573,0.04865931818977668,42.0,0.26805555555555555,536,0.0,0,0,1,0
9,9.0,0.0,1188.0,17.69269830106918,13.592592592592592,0.03641975690562059,54.0,0.011805555555555557,521,1.0,0,0,1,0
10,8.0,0.0,466.0,18.598185359213986,11.272727272727273,0.042706307147252924,11.0,0.011805555555555557,622,0.0,0,1,0,0
11,7.0,0.0,332.0,17.900441630222822,9.27027027027027,0.03181109623595402,37.0,0.040972222222222215,587,0.0,0,0,0,1
12,52.0,1.0,1161.0,17.900441630222822,9.27027027027027,0.03181109623595402,37.0,0.040972222222222215,370,1.0,1,0,0,0
13,42.0,1.0,1299.0,18.02787068851387,10.557692307692307,0.03572545887075308,52.0,0.029166666666666667,375,1.0,1,0,0,0
14,17.0,0.0,0.0,17.244900895186884,11.75609756097561,0.034633694682311214,41.0,0.2986111111111111,117,0.0,0,1,0,0
15,10.0,0.0,0.0,17.244900895186884,11.75609756097561,0.034633694682311214,41.0,0.2986111111111111,117,0.0,0,1,0,0
16,2.0,1.0,1341.0,17.244900895186884,11.75609756097561,0.034633694682311214,41.0,0.2986111111111111,392,0.0,0,0,0,1
17,54.0,0.0,1091.0,17.244900895186884,11.75609756097561,0.034633694682311214,41.0,0.2986111111111111,453,1.0,0,0,1,0
18,28.0,0.0,1380.0,17.492846464198912,11.96875,0.03868856309673002,32.0,0.2986111111111111,1002,1.0,0,1,0,0
19,12.0,0.0,1288.0,17.492846464198912,11.96875,0.03868856309673002,32.0,0.2986111111111111,397,1.0,0,1,0,0
20,31.0,0.0,667.0,17.492846464198912,11.96875,0.03868856309673002,32.0,0.2986111111111111,244,0.0,0,1,0,0
21,9.0,0.0,1719.0,17.492846464198912,11.96875,0.03868856309673002,32.0,0.2986111111111111,463,0.0,0,0,0,1
22,38.0,0.0,1186.0,17.492846464198912,11.96875,0.03868856309673002,32.0,0.2986111111111111,453,1.0,0,0,1,0
23,72.0,0.0,1330.0,17.492846464198912,11.96875,0.03868856309673002,32.0,0.2986111111111111,521,1.0,0,0,1,0
24,110.0,0.0,1380.0,17.77835379473225,9.272727272727273,0.03584242175137987,22.0,0.2986111111111111,1002,0.0,0,1,0,0
25,42.0,0.0,0.0,17.77835379473225,9.272727272727273,0.03584242175137987,22.0,0.2986111111111111,191,0.0,0,1,0,0
26,5.0,0.0,0.0,17.77835379473225,9.272727272727273,0.03584242175137987,22.0,0.2986111111111111,191,0.0,0,1,0,0
27,53.0,0.0,2007.0,20.852856887154733,11.683333333333335,0.040530036466974236,60.0,0.05069444444444445,1002,1.0,0,1,0,0
28,5.0,1.0,332.0,20.852856887154733,11.683333333333335,0.040530036466974236,60.0,0.05069444444444445,587,0.0,0,0,0,1
29,15.0,0.0,1380.0,22.075794640521693,13.15,0.045359356706022085,20.0,0.05069444444444445,1002,1.0,0,1,0,0
30,7.0,1.0,326.0,19.748601629484718,9.804347826086957,0.04527364403373326,46.0,0.009027777777777777,587,0.0,0,0,0,1
31,6.0,1.0,0.0,17.96059470107212,10.685185185185183,0.03947489637604768,54.0,0.009027777777777777,587,0.0,0,0,0,1
32,5.0,0.0,2007.0,16.017341744041268,9.375,0.01338076929974067,24.0,0.029166666666666667,1002,0.0,0,1,0,0
33,2.0,0.0,1686.0,16.017341744041268,9.375,0.01338076929974067,24.0,0.029166666666666667,1002,0.0,0,1,0,0
34,30.0,0.0,985.0,16.017341744041268,9.375,0.01338076929974067,24.0,0.029166666666666667,463,0.0,0,0,0,1
35,5.0,0.0,823.0,13.413310544612756,6.538461538461537,0.00999684697770038,26.0,0.029166666666666667,460,0.0,0,0,1,0
36,43.0,0.0,1376.0,38.13219647823305,19.666666666666668,0.08427812368274601,6.0,0.02986111111111112,460,1.0,0,0,1,0
37,18.0,1.0,0.0,20.633940689976075,20.425531914893615,0.05041415290460138,47.0,0.0125,392,0.0,0,0,0,1
38,10.0,1.0,164.0,15.716924536455664,8.06,0.03179274972644746,50.0,0.013194444444444444,587,0.0,0,0,0,1
39,9.0,1.0,164.0,15.716924536455664,8.06,0.03179274972644746,50.0,0.013194444444444444,382,0.0,0,0,0,1
40,10.0,0.0,0.0,16.134928047620427,11.054545454545458,0.031152376068964236,55.0,0.006944444444444444,587,0.0,0,0,0,1
41,111.0,1.0,164.0,22.498095670547038,11.212765957446807,0.049149969688872384,47.0,0.07708333333333334,587,1.0,0,0,0,1
42,7.0,0.0,0.0,19.987574683157888,12.604166666666664,0.04711437793325853,48.0,0.027777777777777776,191,1.0,0,1,0,0
43,23.0,0.0,0.0,19.987574683157888,12.604166666666664,0.04711437793325853,48.0,0.027777777777777776,220,1.0,0,1,0,0
44,10.0,0.0,0.0,19.987574683157888,12.604166666666664,0.04711437793325853,48.0,0.027777777777777776,117,1.0,0,1,0,0
45,64.0,1.0,1503.0,23.862404858499122,47.3170731707317,0.05357851815854106,41.0,0.2305555555555556,530,1.0,0,0,0,1
46,28.0,0.0,1221.0,22.03472699149337,10.9,0.04654622550004419,50.0,0.2305555555555556,1002,1.0,0,1,0,0
47,86.0,0.0,924.0,22.03472699149337,10.9,0.04654622550004419,50.0,0.2305555555555556,530,1.0,0,0,0,1
48,30.0,0.0,818.0,22.03472699149337,10.9,0.04654622550004419,50.0,0.2305555555555556,414,1.0,1,0,0,0
49,25.0,0.0,1487.0,17.782312749840536,10.96078431372549,0.03792917569815153,51.0,0.2305555555555556,397,1.0,0,1,0,0
50,18.0,0.0,1191.0,19.434940478594704,11.351351351351349,0.045689667267149466,37.0,0.2305555555555556,460,1.0,0,0,1,0
51,8.0,0.0,1708.0,19.434940478594704,11.351351351351349,0.045689667267149466,37.0,0.2305555555555556,521,1.0,0,0,1,0
52,18.0,0.0,1310.0,19.434940478594704,11.351351351351349,0.045689667267149466,37.0,0.2305555555555556,536,1.0,0,0,1,0
53,55.0,0.0,1167.0,17.738315853791995,11.075,0.03560157168812221,40.0,0.2305555555555556,397,0.0,0,1,0,0
54,75.0,0.0,340.0,15.802687516554625,7.83673469387755,0.025596112432122557,49.0,0.09930555555555556,357,0.0,1,0,0,0
55,68.0,0.0,1407.0,19.689487468630556,12.688888888888886,0.04301606575840992,45.0,0.09930555555555556,397,1.0,1,0,0,0
56,13.0,0.0,326.0,20.554484537219626,11.837837837837839,0.028598387277393836,37.0,0.08402777777777777,587,0.0,0,0,0,1
57,47.0,1.0,1299.0,20.554484537219626,11.837837837837839,0.028598387277393836,37.0,0.08402777777777777,453,0.0,0,0,1,0
58,6.0,1.0,0.0,19.26850163140578,9.888888888888891,0.037143084446187885,45.0,0.08402777777777777,622,0.0,0,1,0,0
59,55.0,1.0,1150.0,18.531173429856764,12.93103448275862,0.030203148060669437,29.0,0.08402777777777777,463,1.0,0,0,0,1
60,5.0,1.0,1117.0,17.320616188838653,22.452380952380953,0.03648828011746327,42.0,0.017361111111111112,460,0.0,0,0,1,0
61,9.0,0.0,0.0,17.309749993785502,8.595744680851064,0.03404502416331981,47.0,0.017361111111111112,622,0.0,0,1,0,0
62,4.0,0.0,1304.0,17.615108762528838,9.372093023255816,0.03431340322254938,43.0,0.017361111111111112,397,0.0,0,1,0,0
63,4.0,0.0,1164.0,17.615108762528838,9.372093023255816,0.03431340322254938,43.0,0.017361111111111112,397,1.0,0,1,0,0
64,3.0,0.0,0.0,17.615108762528838,9.372093023255816,0.03431340322254938,43.0,0.017361111111111112,191,1.0,0,1,0,0
65,64.0,0.0,1514.0,15.174517910626207,7.85,0.028572047591855824,40.0,0.04444444444444445,382,1.0,0,0,0,1
66,4.0,0.0,1458.0,17.509096811007918,14.242424242424242,0.029909126249615732,33.0,0.0027777777777777783,536,0.0,0,0,1,0
67,10.0,1.0,332.0,24.856445064924284,37.94736842105263,0.06258590251712866,19.0,0.006944444444444444,587,0.0,0,0,0,1
68,23.0,0.0,845.0,15.03692586407426,8.859649122807017,0.031687775389741345,57.0,0.056944444444444436,357,0.0,1,0,0,0
69,59.0,0.0,866.0,17.102148414001466,9.927272727272726,0.03605557438109985,55.0,0.056944444444444436,530,1.0,0,0,0,1
70,91.0,1.0,669.0,24.649172922602002,26.378378378378375,0.05461787616286822,37.0,0.06319444444444444,392,1.0,0,0,0,1
71,11.0,1.0,0.0,20.520382042238637,12.411764705882351,0.038875919038187004,51.0,0.03958333333333333,587,0.0,0,0,0,1
72,46.0,0.0,1447.0,20.520382042238637,12.411764705882351,0.038875919038187004,51.0,0.03958333333333333,521,1.0,0,0,1,0
73,5.0,0.0,1564.0,16.921218718278045,39.1578947368421,0.016983521158558328,19.0,0.003472222222222222,536,0.0,0,0,1,0
74,4.0,0.0,1380.0,18.41512728917333,11.25925925925926,0.04118610805635454,54.0,0.0125,1002,1.0,0,1,0,0
75,2.0,0.0,1192.0,18.91514302623376,10.98,0.03690397671295586,50.0,0.0125,375,0.0,1,0,0,0
